geneset,go_id,gene
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,SEC13
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,SEC24B
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,SEC16B
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,SEC16A
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,DDHD2
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,YIF1A
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,YIF1B
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,CNIH1
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,CNIH2
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,COL7A1
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,HLA-DRA
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,CNIH3
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,CNIH4
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,ERGIC3
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,SEC24D
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,ERGIC2
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,ERGIC1
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,HLA-DQB2
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,MCFD2
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,SERPINA1
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,TMED10
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,SAR1B
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,STX17
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,HFE
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,CTSZ
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,ECPAS
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,TGFA
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,IER3IP1
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,TMED4
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,VTI1B
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,TMED3
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,VTI1A
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,STX5
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,TMED2
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,TMED1
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,B2M
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,TMED7
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,HLA-DQA2
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,TMED6
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,CTSC
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,HLA-DQA1
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,TMED5
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,HLA-DRB5
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,TMED9
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,LMAN1L
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,SURF4
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,SLC30A5
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,HLA-C
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,HLA-A
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,HLA-B
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,HLA-G
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,F5
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,HLA-E
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,HLA-F
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,F8
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,SEC23IP
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,USO1
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,HLA-DRB4
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,FOLR2
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,HLA-DRB3
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,SEC22B
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,HLA-DRB1
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,GRIA1
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,SEC23A
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,GOSR2
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,KLHL12
